name,qst_gt,kh_co2_gt,co2_uptake_gt
DB2_B2_sample_1132_34c2_41pjso2krv6s_prim_mepoml_Widom_298.0,-44.763188696204736,0.0025934072204489,0.11150247303824341
DB2_B2_sample_1045_nyer_41pjso2krv6s_prim_mepoml_Widom_298.0,-48.02305404277617,0.0044741156557377,0.10764403891770959
DB2_B2_sample_1118_nyer_41pjso2krv6s_prim_mepoml_Widom_298.0,-44.50442124400139,0.0017116297751867,0.06265570283564414
DB2_B2_sample_1119_md7b_41pjso2krv6s_prim_mepoml_Widom_298.0,-46.89789270733591,0.0011061795371589,0.04209627460337398
DB2_B2_sample_1066_tyc4_41pjso2krv6s_prim_mepoml_Widom_298.0,-38.39794668481564,0.0007795813438518,0.03173768782619876
DB2_B2_sample_1057_ok67_41pjso2krv6s_prim_mepoml_Widom_298.0,-36.48449524882174,0.0007590743719543,0.030772251639935
DB2_B2_sample_1037_ok67_41pjso2krv6s_prim_mepoml_Widom_298.0,-40.12852712597351,0.000747957070139,0.0292409077644
DB2_B2_sample_1014_nyer_41pjso2krv6s_prim_mepoml_Widom_298.0,-37.51098858896233,0.0006715470490739,0.02718061850758372
DB2_B2_sample_1044_ok67_41pjso2krv6s_prim_mepoml_Widom_298.0,-43.3233299026972,0.0006083000389754,0.02472885426215925
DB2_B2_sample_108_nyer_41pjso2krv6s_prim_mepoml_Widom_298.0,-29.610585002863207,0.0005944090018285,0.02396183800040802
DB2_B2_sample_1005_nyer_41pjso2krv6s_prim_mepoml_Widom_298.0,-42.84311371253391,0.0005741757520363,0.022084029075923998
DB2_B2_sample_1226_34c2_41pjso2krv6s_prim_mepoml_Widom_298.0,-37.80295780247989,0.0005312054667695,0.02206848660971599
DB2_B2_sample_1041_tyc4_41pjso2krv6s_prim_mepoml_Widom_298.0,-45.03292739754304,0.0005800309814509,0.02084440717181028
DB2_B2_sample_1037_tyc4_41pjso2krv6s_prim_mepoml_Widom_298.0,-33.167545094970386,0.0005151561883333,0.020705838640051072
DB2_B2_sample_1226_tyc4_41pjso2krv6s_prim_mepoml_Widom_298.0,-36.18976838543225,0.0004876964778232,0.019476750092810476
DB2_B2_sample_1122_qkex_41pjso2krv6s_prim_mepoml_Widom_298.0,-35.54373674133225,0.0004862407377074,0.018846891429022808
DB2_B2_sample_104_ok67_41pjso2krv6s_prim_mepoml_Widom_298.0,-33.55204667500995,0.0004556925914478,0.0187739773836615
DB2_B2_sample_1004_nm02_41pjso2krv6s_prim_mepoml_Widom_298.0,-29.942673699582063,0.0004531233380482,0.018545083867786003
DB2_B2_sample_1229_nm02_41pjso2krv6s_prim_mepoml_Widom_298.0,-36.7670165274955,0.0004161700120991,0.0178425614303676
DB2_B2_sample_114_gola_41pjso2krv6s_prim_mepoml_Widom_298.0,-35.96594747144917,0.0004513510387444,0.017840516773455
DB2_B2_sample_1147_ok67_41pjso2krv6s_prim_mepoml_Widom_298.0,-34.59564052396642,0.0004159257814072,0.01696544031040534
DB2_B2_sample_1057_qkex_41pjso2krv6s_prim_mepoml_Widom_298.0,-39.40393308346347,0.0004101556125785,0.016646788213353077
DB2_B2_sample_1230_nm02_41pjso2krv6s_prim_mepoml_Widom_298.0,-36.84457551150957,0.0003923201199034,0.01655713554201363
DB2_B2_sample_1061_nyer_41pjso2krv6s_prim_mepoml_Widom_298.0,-34.27562726809519,0.0004170464322484,0.016419813704303628
DB2_B2_sample_1151_tyc4_41pjso2krv6s_prim_mepoml_Widom_298.0,-37.232033902025854,0.0003944863548401,0.015932919940494224
DB2_B2_sample_1125_md7b_41pjso2krv6s_prim_mepoml_Widom_298.0,-41.24468509629596,0.0003701380429352,0.01514746166492
DB2_B2_sample_1048_gola_41pjso2krv6s_prim_mepoml_Widom_298.0,-35.89937048817687,0.000341698745879,0.014349816306423298
DB2_B2_sample_1110_ok67_41pjso2krv6s_prim_mepoml_Widom_298.0,-30.680394761404266,0.0003537596376798,0.014258399537843868
DB2_B2_sample_1137_qkex_41pjso2krv6s_prim_mepoml_Widom_298.0,-38.5099718506365,0.0003233598581279,0.01312669193921405
DB2_B2_sample_1107_nyer_41pjso2krv6s_prim_mepoml_Widom_298.0,-29.65272966227516,0.0003149120007269,0.012985717713780223
DB2_B2_sample_1020_qkex_41pjso2krv6s_prim_mepoml_Widom_298.0,-34.19197696407456,0.0002960543334393,0.012553533489072
DB2_B2_sample_1227_gola_41pjso2krv6s_prim_mepoml_Widom_298.0,-35.19055561096661,0.00030340358813,0.012467919129122445
DB2_B2_sample_1144_nyer_41pjso2krv6s_prim_mepoml_Widom_298.0,-31.736742971582824,0.0002976338751676,0.012431915855415405
DB2_B2_sample_113_ok67_41pjso2krv6s_prim_mepoml_Widom_298.0,-31.81004353703041,0.0003057167034877,0.012375335257574196
DB2_B2_sample_1146_nyer_41pjso2krv6s_prim_mepoml_Widom_298.0,-35.19970568709802,0.0002984145443406,0.012103271324676129
DB2_B2_sample_1144_nm02_41pjso2krv6s_prim_mepoml_Widom_298.0,-31.161920601259737,0.0002913560700772,0.011857767388137349
DB2_B2_sample_107_34c2_41pjso2krv6s_prim_mepoml_Widom_298.0,-29.90784789708924,0.0002699919497055,0.01095023175357707
