name,co2_uptake_gt,co2_uptake_1,kh_co2_gt,kh_co2_1,qst_gt,qst_1
sample_362,0.00033916277241132474,0.00400492039785683,8.766157234042554e-06,7.665927109972404e-08,-16.793222004848936,0.11069116987305092
sample_778,0.0005053658705375001,0.00818260761003706,1.2974228260869566e-05,1.0404757754601828e-08,-12.483744120241306,0.008002431392321064
sample_798,0.0003645510116025,0.008355508301127126,8.593817333333334e-06,6.87216006798442e-09,-10.382023543295556,0.005023444033952254
sample_1006,0.00016194553744671225,0.004388421439451413,3.7806357142857144e-06,1.5138301201433008e-09,-8.080886658166667,0.0020786834709758725
sample_943,0.00022187446470000002,0.004248501556251403,6.702160384615385e-06,2.2759486285422684e-09,-8.579381166146153,0.0026790279485104066
sample_813,0.00022256293688918075,0.0036521732161437187,4.431448666666666e-06,5.431900670013145e-09,-9.733557999455556,0.004053661326374578
sample_912,0.00020660207150699999,0.004266014828034884,6.0177545652173915e-06,9.22718212827483e-09,-11.500886411802174,0.010998542476114604
sample_488,0.000232274931418295,0.003908135681319277,5.587415227272727e-06,1.7058248986080165e-09,-8.817077637268182,0.002506204804482146
sample_75,0.0004790359850870227,0.006625614459883357,1.2786677083333334e-05,1.5311586565725942e-08,-13.743538292285416,0.014859206059028214
sample_617,0.0001981559663551169,0.004278971703810509,5.060607608695652e-06,2.9878116062943162e-09,-9.174974349376086,0.006069106862239932
sample_729,0.00012507367020975574,0.00320405926841655,3.703292244897959e-06,2.363550826924105e-09,-7.799918346342857,0.006242011639361078
sample_747,0.00016370010735091713,0.002964526816057335,4.25292088888889e-06,1.4641672980036148e-09,-8.498182246715555,0.0017755794162020262
sample_441,0.00052971430785,0.008358834559550238,1.2520561904761905e-05,8.231934112286446e-09,-12.13724474330476,0.006663537870309005
sample_538,0.0024551477381510216,0.011474907068754552,6.485875714285715e-05,5.171175042127899e-07,-26.902437178507142,0.06821144732618589
sample_406,0.0002217697715367321,0.003649070178619168,5.157684680851064e-06,2.1071114149862e-09,-9.029278527612766,0.0038998209290016157
sample_224,0.0017345774569790756,0.009178504065527265,4.1403946511627915e-05,4.156164012273481e-08,-20.337724974806978,0.007429726723435518
sample_122,0.00019198409291742977,0.0044236630783734705,5.498050975609757e-06,2.0008215445320936e-09,-8.92234603682683,0.0025043777965283545
sample_131,0.00035460347093220447,0.00405207609760542,9.179237142857143e-06,1.0792522606772097e-08,-14.053520761495239,0.00933148718579508
sample_713,0.00021796144687771343,0.0028388936957268267,5.70896081632653e-06,2.4822806978107568e-08,-11.161320751116326,0.04949703813807155
sample_946,0.0003720216162217745,0.0057118894144879105,9.801257291666666e-06,1.91372776211316e-08,-12.118434745879165,0.010169793333061863
sample_320,0.00029903782767724997,0.005433381895944222,7.676123673469388e-06,4.794721457244506e-09,-8.189973326357142,0.006233439044585295
sample_367,0.0002943460909480829,0.006212288953291371,8.029725319148933e-06,8.941376411503098e-09,-9.707422965336171,0.008191643997692783
sample_901,0.000515191628606,0.00642894111975104,1.3300519512195119e-05,1.3467978636103327e-08,-13.515323951734144,0.006702626365852593
sample_705,0.00035991050510830746,0.004829798621293461,8.585019574468086e-06,1.3522760161006862e-08,-13.640910451065954,0.011028520568804172
sample_403,0.0004377401996354492,0.004015450613677683,1.140647906976744e-05,4.761012113402948e-09,-13.61317731545349,0.004462952472122428
sample_180,0.0007487364895010415,0.007440324977190091,1.890353469387755e-05,5.5996011341262316e-08,-16.00120120928571,0.034740251841609095
sample_742,0.0002959976568645015,0.004140213144503304,8.400685428571427e-06,3.453463142045934e-09,-12.935920489725715,0.004224755435997124
sample_336,0.0002928690873,0.007556249277927222,8.783531632653062e-06,1.6514953810872794e-08,-9.381153286563265,0.015821637091535664
sample_208,0.0003938855492713593,0.004482974476952181,1.0300487500000002e-05,6.878503236230488e-08,-16.063808421566666,0.06402051235810298
sample_90,0.0004452314753275,0.007714344721474467,1.0552425e-05,6.688847216324591e-08,-14.281062768960416,0.07623274769358943
sample_917,0.000636505046705,0.005750856775040269,1.591199268292683e-05,1.7998094617905334e-08,-14.97841912389512,0.009637157996884856
sample_391,0.0005284861449920001,0.005436785601220946,1.33824085106383e-05,1.8296876024334964e-08,-14.211453710400002,0.006683525023797875
sample_553,0.000590958545466,0.008140394220265716,1.5248855102040817e-05,7.574944752603665e-08,-13.884291810279592,0.05059684147245381
sample_371,0.0008558576359711993,0.009318816541581485,2.2964899999999998e-05,3.368832741848924e-08,-16.41101264588085,0.008683389027403579
sample_673,0.0005426993161815,0.005675749417511796,1.270490612244898e-05,4.298348713863556e-08,-14.024611486514285,0.055287457849556666
sample_693,0.00038563891837599997,0.005685329284169054,9.889445714285714e-06,1.357409357593218e-07,-17.297736121365308,0.17126972446913527
sample_848,0.0005890524457733611,0.005524851455411268,1.454491836734694e-05,1.1133304943595903e-08,-14.173776346422452,0.0038694324730975194
sample_128,0.0004834018603777725,0.006974282727489801,1.2531530232558138e-05,1.258416381869227e-08,-12.832947928286044,0.013388157773437128
sample_532,0.0004072471573613614,0.006808315513247629,9.53449268292683e-06,6.499276516730685e-09,-10.278250849539024,0.005092498021466657
sample_764,0.0002296166293575,0.004890103832472595,5.09318e-06,4.779015896203967e-08,-7.976957459125532,0.1303028999232993
sample_38,0.00022086774262799997,0.0055877288972187005,5.1123218367346945e-06,7.1515337796807884e-09,-7.821567928369387,0.0104299959392814
sample_240,0.00020988702601600003,0.0056875467894337535,4.798805510204082e-06,3.1981780918264237e-09,-6.736280151367347,0.005237589676885699
sample_918,0.000853250255592,0.007142924338315728,2.1439211111111112e-05,1.927694330566633e-08,-18.95797175999111,0.0074230939638228275
sample_826,0.0005850769390449947,0.007740418603463086,1.487995306122449e-05,4.98527795963882e-08,-15.081986235340818,0.03922243843160137
sample_861,0.0012928504363962329,0.006559401986001933,3.2579537499999995e-05,3.649771468302281e-08,-18.37204007520625,0.007543952279652371
sample_207,0.00044498584997149527,0.007186009320765493,1.248660869565217e-05,2.1473773954847746e-08,-13.613148797449998,0.012781050167684188
sample_339,0.00049824436349,0.008311891005080502,1.2668720000000001e-05,1.9263074636320193e-08,-13.055228465168888,0.010173380264436682
sample_199,0.007118380627239921,0.011669973593215007,0.00018299434782608696,9.430576754498913e-06,-39.47753879926304,0.24791183831379773
sample_179,0.00020217234238500002,0.0051147543155079305,5.928842666666668e-06,4.526731837527918e-08,-8.419798244031114,0.10130781671297796
sample_306,0.0005024399705165765,0.006659594045901517,1.2929630612244897e-05,2.7201547105473296e-08,-14.615356073981634,0.029427838794305678
sample_960,0.00026041437239375,0.006384605117478375,6.396344166666667e-06,8.29780313128449e-09,-9.928090213852082,0.008308440761166524
sample_388,0.00025070840856405746,0.00469782153475576,6.363011999999999e-06,1.851394532314989e-09,-10.319026686045714,0.000908303148052958
sample_474,0.00057941211079425,0.008190174328813964,1.41368e-05,4.5405347747612646e-07,-16.326676793079592,0.4701335512967259
sample_256,0.00022764881765531062,0.0036158124898788033,5.689741521739131e-06,5.662714039487244e-09,-10.854627694349999,0.0071360545417286664
sample_368,0.03259968567925387,0.040066366460188935,0.0007595750212765957,6.083817217480937e-06,-38.35427240109149,0.041307802841636286
sample_735,0.000294434830419,0.006512309015591442,7.7364793877551e-06,2.0355303817499443e-08,-11.087826457559187,0.030686279292558294
sample_433,0.0009160002506165683,0.007088512971278118,2.316022448979592e-05,4.6852088275338174e-08,-16.841410754038776,0.02452934259007463
sample_420,0.00026101051056,0.006146598745082881,6.170893863636364e-06,5.180803384483727e-09,-8.592340439236365,0.005561825347189301
sample_726,0.00021750428341200001,0.005572845886524781,5.9735863829787235e-06,6.9337857473026846e-09,-6.454515764108511,0.013180106542299053
sample_884,0.0008568190052854757,0.007827241261358664,2.142234893617021e-05,1.8335117709506503e-08,-16.670079479974472,0.009991242336569214
